,user,text,favourite_count,retweet_count,created_at
165,elonmusk,"@DJSnM @ThePrimalDino Center core moving too fast return. Falcon Heavy is a 3 (or 2.5) stage rocket, but full &amp; rapid reusability on Earth demand a 2 stage rocket.

1st stage returns to launch site immediately via boostback &amp; 2nd stage orbits until ground track passes back over launch site to return.",3238,200,2023-01-16 20:07:25+00:00
166,elonmusk,"@appuntito160 People on the right should see more “left wing” stuff and people on the left should see more “right wing” stuff.

But you can just block it if you want to stay in an echo chamber.",24786,2449,2023-01-16 19:56:29+00:00
167,elonmusk,"@DavidSacks The censorship tools were created to deal with scams &amp; spam, but then were turned to political purposes.

Those who favor censorship should remember that it is only a matter of time before censorship turns on you.

There will always be some censorship, but less is better.",37427,5591,2023-01-16 19:36:23+00:00
168,elonmusk,@stats_feed Exactly. Money is actually a set of heterogeneous databases with vast amounts of legacy code still using COBOL on mainframes in batch mode.,39921,3773,2023-01-16 19:25:23+00:00
169,elonmusk,"@DavidSacks @zerohedge Zerohedge can be jerks at times, but they did nothing warranting suspension",13761,919,2023-01-16 19:11:25+00:00
170,elonmusk,@stats_feed Sea water contains enough of every element to support &gt;10X current civilizational needs,68500,5827,2023-01-16 18:55:41+00:00
171,elonmusk,"@ShellenbergerMD @wef @Davos There should be a game show: “4Chan or Davos, who said it?”",40354,4009,2023-01-16 17:44:47+00:00
172,elonmusk,@stillgray Do you actually know where your money is going?,84886,5006,2023-01-16 05:11:57+00:00
173,elonmusk,Kudos to the BBC for self-labelling its state affiliation,151971,12055,2023-01-16 05:06:21+00:00
174,elonmusk,"@WallStreetSilv @nytimes @MSNBC @facebook @washingtonpost Technically, Twitter should have that label",20663,1179,2023-01-16 05:01:37+00:00
175,elonmusk,@budan_m 🔥,9331,201,2023-01-16 04:59:45+00:00
176,elonmusk,"@JohnRWoodJr @alexandrosM Sam has changed a lot, but I suppose so have we all",2387,134,2023-01-16 04:57:28+00:00
177,elonmusk,@engineers_feed Nuclear is way safer than coal,79801,5527,2023-01-16 03:32:52+00:00
178,elonmusk,@dogeofficialceo 🤣🔥,15053,492,2023-01-16 03:07:12+00:00
